Knowledge statement,Subject,Key stage,Year group,Broad topic,Specific topic,Document,page,introduction,examples,glossary,appendix,purpose of study,aims,attainment targets,statutory guidance,non-statutory guidance,digital literacy (AI),financial literacy (AI),media literacy (AI),oracy (AI),climate and sustainability (AI),digital literacy (SL),financial literacy (SL),media literacy (SL),oracy (SL),climate and sustSLnability (SL)
"Pupils should be taught to: change freely between related standard units [for example time, length, area, volume/capacity, mass]",Mathematics,Key stage 3,,"Ratio, proportion and rates of change",,NC master,157,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: use scale factors, scale diagrams and maps",Mathematics,Key stage 3,,"Ratio, proportion and rates of change",,NC master,157,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: express one quantity as a fraction of another, where the fraction is less than 1 and greater than 1",Mathematics,Key stage 3,,"Ratio, proportion and rates of change",,NC master,157,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: use ratio notation, including reduction to simplest form",Mathematics,Key stage 3,,"Ratio, proportion and rates of change",,NC master,157,,,,,,,,Y,,,,,,,,,,,
Pupils should be taught to: divide a given quantity into two parts in a given part:part or part:whole ratio; express the division of a quantity into two parts as a ratio,Mathematics,Key stage 3,,"Ratio, proportion and rates of change",,NC master,157,,,,,,,,Y,,,,,,,,,,,
Pupils should be taught to: understand that a multiplicative relationship between two quantities can be expressed as a ratio or a fraction,Mathematics,Key stage 3,,"Ratio, proportion and rates of change",,NC master,157,,,,,,,,Y,,,,,,,,,,,
Pupils should be taught to: relate the language of ratios and the associated calculations to the arithmetic of fractions and to linear functions,Mathematics,Key stage 3,,"Ratio, proportion and rates of change",,NC master,157,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: solve problems involving percentage change, including: percentage increase, decrease and original value problems and simple interest in financial mathematics",Mathematics,Key stage 3,,"Ratio, proportion and rates of change",,NC master,157,,,,,,,,Y,,,Y,,,,,Y,,,
"Pupils should be taught to: solve problems involving direct and inverse proportion, including graphical and algebraic representations",Mathematics,Key stage 3,,"Ratio, proportion and rates of change",,NC master,157,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: use compound units such as speed, unit pricing and density to solve problems.",Mathematics,Key stage 3,,"Ratio, proportion and rates of change",,NC master,157,,,,,,,,Y,,,Y,,,,,Y,,,
"Pupils should be taught to: derive and apply formulae to calculate and solve problems involving: perimeter and area of triangles, parallelograms, trapezia, volume of cuboids (including cubes) and other prisms (including cylinders)",Mathematics,Key stage 3,,Geometry and measures,,NC master,157,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: calculate and solve problems involving: perimeters of 2-D shapes (including circles), areas of circles and composite shapes",Mathematics,Key stage 3,,Geometry and measures,,NC master,157,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: draw and measure line segments and angles in geometric figures, including interpreting scale drawings",Mathematics,Key stage 3,,Geometry and measures,,NC master,157,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: derive and use the standard ruler and compass constructions (perpendicular bisector of a line segment, constructing a perpendicular to a given line from/at a given point, bisecting a given angle); recognise and use the perpendicular distance from a point to a line as the shortest distance to the line",Mathematics,Key stage 3,,Geometry and measures,,NC master,157,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: describe, sketch and draw using conventional terms and notations: points, lines, parallel lines, perpendicular lines, right angles, regular polygons, and other polygons that are reflectively and rotationally symmetric",Mathematics,Key stage 3,,Geometry and measures,,NC master,157,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: use the standard conventions for labelling the sides and angles of triangle ABC, and know and use the criteria for congruence of triangles",Mathematics,Key stage 3,,Geometry and measures,,NC master,158,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: derive and illustrate properties of triangles, quadrilaterals, circles, and other plane figures [for example, equal lengths and angles] using appropriate language and technologies",Mathematics,Key stage 3,,Geometry and measures,,NC master,158,,,,,,,,Y,,Y,,,Y,,Y,,,Y,
"Pupils should be taught to: identify properties of, and describe the results of, translations, rotations and reflections applied to given figures",Mathematics,Key stage 3,,Geometry and measures,,NC master,158,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: identify and construct congruent triangles, and construct similar shapes by enlargement, with and without coordinate grids",Mathematics,Key stage 3,,Geometry and measures,,NC master,158,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: apply the properties of angles at a point, angles at a point on a straight line, vertically opposite angles",Mathematics,Key stage 3,,Geometry and measures,,NC master,158,,,,,,,,Y,,,,,,,,,,,
Pupils should be taught to: understand and use the relationship between parallel lines and alternate and corresponding angles,Mathematics,Key stage 3,,Geometry and measures,,NC master,158,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: derive and use the sum of angles in a triangle and use it to deduce the angle sum in any polygon, and to derive properties of regular polygons",Mathematics,Key stage 3,,Geometry and measures,,NC master,158,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: apply angle facts, triangle congruence, similarity and properties of quadrilaterals to derive results about angles and sides, including Pythagoras' Theorem, and use known results to obtain simple proofs",Mathematics,Key stage 3,,Geometry and measures,,NC master,158,,,,,,,,Y,,,,,,,,,,,
Pupils should be taught to: use Pythagoras' Theorem and trigonometric ratios in similar triangles to solve problems involving right-angled triangles,Mathematics,Key stage 3,,Geometry and measures,,NC master,158,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: use the properties of faces, surfaces, edges and vertices of cubes, cuboids, prisms, cylinders, pyramids, cones and spheres to solve problems in 3-D",Mathematics,Key stage 3,,Geometry and measures,,NC master,158,,,,,,,,Y,,,,,,,,,,,
Pupils should be taught to: interpret mathematical relationships both algebraically and geometrically.,Mathematics,Key stage 3,,Geometry and measures,,NC master,158,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: record, describe and analyse the frequency of outcomes of simple probability experiments involving randomness, fairness, equally and unequally likely outcomes, using appropriate language and the 0-1 probability scale",Mathematics,Key stage 3,,Probability,,NC master,158,,,,,,,,Y,,,,,Y,,,,,Y,
Pupils should be taught to: understand that the probabilities of all possible outcomes sum to 1,Mathematics,Key stage 3,,Probability,,NC master,158,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: enumerate sets and unions/intersections of sets systematically, using tables, grids and Venn diagrams",Mathematics,Key stage 3,,Probability,,NC master,158,,,,,,,,Y,,,,Y,,,,,Y,,
"Pupils should be taught to: generate theoretical sample spaces for single and combined events with equally likely, mutually exclusive outcomes and use these to calculate theoretical probabilities.",Mathematics,Key stage 3,,Probability,,NC master,158,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: describe, interpret and compare observed distributions of a single variable through: appropriate graphical representation involving discrete, continuous and grouped data; and appropriate measures of central tendency (mean, mode, median) and spread (range, consideration of outliers)",Mathematics,Key stage 3,,Statistics,,NC master,159,,,,,,,,Y,,,,Y,,,,,Y,,
"Pupils should be taught to: construct and interpret appropriate tables, charts, and diagrams, including frequency tables, bar charts, pie charts, and pictograms for categorical data, and vertical line (or bar) charts for ungrouped and grouped numerical data",Mathematics,Key stage 3,,Statistics,,NC master,159,,,,,,,,Y,,,,Y,,,,,Y,,
Pupils should be taught to: describe simple mathematical relationships between two variables (bivariate data) in observational and experimental contexts and illustrate using scatter graphs.,Mathematics,Key stage 3,,Statistics,,NC master,159,,,,,,,,Y,,,,Y,,,,,Y,,
"Mathematics is an interconnected subject in which pupils need to be able to move fluently between representations of mathematical ideas. The programme of study for key stage 4 is organised into apparently distinct domains, but pupils should develop and consolidate connections across mathematical ideas. They should build on learning from key stage 3 to further develop fluency, mathematical reasoning and competence in solving increasingly sophisticated problems. They should also apply their mathematical knowledge wherever relevant in other subjects and in financial contexts.",Mathematics,Key stage 4,,Introduction,,NC master,160,Y,,,,,,,,,,Y,,,,,Y,,,
"The expectation is that the majority of pupils will move through the programme of study at broadly the same pace. However, decisions about when to progress should always be based on the security of pupils' understanding and their readiness to progress. Pupils who grasp concepts rapidly should be challenged through being offered rich and sophisticated problems before any acceleration through new content. Those who are not sufficiently fluent with earlier material should consolidate their understanding, including through additional practice, before moving on.",Mathematics,Key stage 4,,Introduction,,NC master,160,Y,,,,,,,,,,,,,,,,,,
"This programme of study specifies: the mathematical content that should be taught to all pupils, in standard type;",Mathematics,Key stage 4,,Introduction,,NC master,160,Y,,,,,,,,,,,,,,,,,,
"This programme of study specifies: additional mathematical content to be taught to more highly attaining pupils, in bold type and braces { }.",Mathematics,Key stage 4,,Introduction,,NC master,160,Y,,,,,,,,,,,,,,,,,,
"Together, the mathematical content set out in the key stage 3 and key stage 4 programmes of study covers the full range of material contained in the GCSE Mathematics qualification. Wherever it is appropriate, given pupils' security of understanding and readiness to progress, pupils should be taught the full content set out in this programme of study.",Mathematics,Key stage 4,,Introduction,,NC master,160,Y,,,,,,,,,,,,,,,,,,
"Through the mathematics content, pupils should be taught to: consolidate their numerical and mathematical capability from key stage 3 and extend their understanding of the number system to include powers, roots {and fractional indices}",Mathematics,Key stage 4,,Working mathematically,Develop fluency,NC master,160,,,,,,,,Y,,,,,,,,,,,
"Through the mathematics content, pupils should be taught to: select and use appropriate calculation strategies to solve increasingly complex problems, including exact calculations involving multiples of π {and surds}, use of standard form and application and interpretation of limits of accuracy",Mathematics,Key stage 4,,Working mathematically,Develop fluency,NC master,160,,,,,,,,Y,,,,,,,,,,,
"Through the mathematics content, pupils should be taught to: consolidate their algebraic capability from key stage 3 and extend their understanding of algebraic simplification and manipulation to include quadratic expressions, {and expressions involving surds and algebraic fractions}",Mathematics,Key stage 4,,Working mathematically,Develop fluency,NC master,161,,,,,,,,Y,,,,,,,,,,,
"Through the mathematics content, pupils should be taught to: extend fluency with expressions and equations from key stage 3, to include quadratic equations, simultaneous equations and inequalities",Mathematics,Key stage 4,,Working mathematically,Develop fluency,NC master,161,,,,,,,,Y,,,,,,,,,,,
"Through the mathematics content, pupils should be taught to: move freely between different numerical, algebraic, graphical and diagrammatic representations, including of linear, quadratic, reciprocal, {exponential and trigonometric} functions",Mathematics,Key stage 4,,Working mathematically,Develop fluency,NC master,161,,,,,,,,Y,,,,,,,,,,,
"Through the mathematics content, pupils should be taught to: use mathematical language and properties precisely.",Mathematics,Key stage 4,,Working mathematically,Develop fluency,NC master,161,,,,,,,,Y,,,,,Y,,,,,Y,
"Through the mathematics content, pupils should be taught to: extend and formalise their knowledge of ratio and proportion, including trigonometric ratios, in working with measures and geometry, and in working with proportional relations algebraically and graphically",Mathematics,Key stage 4,,Working mathematically,Reason mathematically,NC master,161,,,,,,,,Y,,,,,,,,,,,
"Through the mathematics content, pupils should be taught to: extend their ability to identify variables and express relations between variables algebraically and graphically",Mathematics,Key stage 4,,Working mathematically,Reason mathematically,NC master,161,,,,,,,,Y,,,,,,,,,,,
"Through the mathematics content, pupils should be taught to: make and test conjectures about the generalisations that underlie patterns and relationships; look for proofs or counter-examples; begin to use algebra to support and construct arguments {and proofs}",Mathematics,Key stage 4,,Working mathematically,Reason mathematically,NC master,161,,,,,,,,Y,,,,,Y,,,,,Y,
"Through the mathematics content, pupils should be taught to: reason deductively in geometry, number and algebra, including using geometrical constructions",Mathematics,Key stage 4,,Working mathematically,Reason mathematically,NC master,161,,,,,,,,Y,,,,,,,,,,,
"Through the mathematics content, pupils should be taught to: interpret when the structure of a numerical problem requires additive, multiplicative or proportional reasoning",Mathematics,Key stage 4,,Working mathematically,Reason mathematically,NC master,161,,,,,,,,Y,,,,,,,,,,,
"Through the mathematics content, pupils should be taught to: explore what can and cannot be inferred in statistical and probabilistic settings, and express their arguments formally",Mathematics,Key stage 4,,Working mathematically,Reason mathematically,NC master,161,,,,,,,,Y,,,,,Y,,,,,Y,
"Through the mathematics content, pupils should be taught to: assess the validity of an argument and the accuracy of a given way of presenting information.",Mathematics,Key stage 4,,Working mathematically,Reason mathematically,NC master,161,,,,,,,,Y,,,,Y,Y,,,,Y,Y,
"Through the mathematics content, pupils should be taught to: develop their mathematical knowledge, in part through solving problems and evaluating the outcomes, including multi-step problems",Mathematics,Key stage 4,,Working mathematically,Solve problems,NC master,161,,,,,,,,Y,,,,,,,,,,,
"Through the mathematics content, pupils should be taught to: develop their use of formal mathematical knowledge to interpret and solve problems, including in financial contexts",Mathematics,Key stage 4,,Working mathematically,Solve problems,NC master,161,,,,,,,,Y,,,Y,,,,,Y,,,
"Through the mathematics content, pupils should be taught to: make and use connections between different parts of mathematics to solve problems",Mathematics,Key stage 4,,Working mathematically,Solve problems,NC master,161,,,,,,,,Y,,,,,,,,,,,
"Through the mathematics content, pupils should be taught to: model situations mathematically and express the results using a range of formal mathematical representations, reflecting on how their solutions may have been affected by any modelling assumptions",Mathematics,Key stage 4,,Working mathematically,Solve problems,NC master,162,,,,,,,,Y,,,,,,,,,,,
"Through the mathematics content, pupils should be taught to: select appropriate concepts, methods and techniques to apply to unfamiliar and non-routine problems; interpret their solution in the context of the given problem.",Mathematics,Key stage 4,,Working mathematically,Solve problems,NC master,162,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: apply systematic listing strategies, {including use of the product rule for counting}",Mathematics,Key stage 4,,Subject content,Number,NC master,163,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: {estimate powers and roots of any given positive number}",Mathematics,Key stage 4,,Subject content,Number,NC master,163,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: calculate with roots, and with integer {and fractional} indices",Mathematics,Key stage 4,,Subject content,Number,NC master,163,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: calculate exactly with fractions, {surds} and multiples of π; {simplify surd expressions involving squares [for example √12 = √4 × 3 = √4 × √3 = 2√3] and rationalise denominators}",Mathematics,Key stage 4,,Subject content,Number,NC master,163,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: calculate with numbers in standard form A ×10"", where 1 ≤ A < 10 and n is an integer",Mathematics,Key stage 4,,Subject content,Number,NC master,163,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: {change recurring decimals into their corresponding fractions and vice versa}",Mathematics,Key stage 4,,Subject content,Number,NC master,163,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: identify and work with fractions in ratio problems",Mathematics,Key stage 4,,Subject content,Number,NC master,163,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: apply and interpret limits of accuracy when rounding or truncating, {including upper and lower bounds}.",Mathematics,Key stage 4,,Subject content,Number,NC master,163,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: simplify and manipulate algebraic expressions (including those involving surds {and algebraic fractions}) by: factorising quadratic expressions of the form x² + bx + c, including the difference of two squares; {factorising quadratic expressions of the form ax² + bx + c }",Mathematics,Key stage 4,,Subject content,Algebra,NC master,163,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: simplify and manipulate algebraic expressions (including those involving surds {and algebraic fractions}) by: simplifying expressions involving sums, products and powers, including the laws of indices",Mathematics,Key stage 4,,Subject content,Algebra,NC master,163,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: know the difference between an equation and an identity; argue mathematically to show algebraic expressions are equivalent, and use algebra to support and construct arguments {and proofs}",Mathematics,Key stage 4,,Subject content,Algebra,NC master,163,,,,,,,,Y,,,,,Y,,,,,Y,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: where appropriate, interpret simple expressions as functions with inputs and outputs; {interpret the reverse process as the 'inverse function'; interpret the succession of two functions as a 'composite function'}",Mathematics,Key stage 4,,Subject content,Algebra,NC master,163,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: use the form y = mx + c to identify parallel {and perpendicular} lines; find the equation of the line through two given points, or through one point with a given gradient",Mathematics,Key stage 4,,Subject content,Algebra,NC master,163,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: identify and interpret roots, intercepts and turning points of quadratic functions graphically; deduce roots algebraically {and turning points by completing the square}",Mathematics,Key stage 4,,Subject content,Algebra,NC master,164,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: recognise, sketch and interpret graphs of linear functions, quadratic functions, simple cubic functions, the reciprocal function y = 1/x with x ≠ 0, {the exponential function y = k* for positive values of k, and the trigonometric functions (with arguments in degrees) y = sin x, y = cos x and y = tan x for angles of any size}",Mathematics,Key stage 4,,Subject content,Algebra,NC master,164,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: {sketch translations and reflections of the graph of a given function}",Mathematics,Key stage 4,,Subject content,Algebra,NC master,164,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: plot and interpret graphs (including reciprocal graphs {and exponential graphs}) and graphs of non-standard functions in real contexts, to find approximate solutions to problems such as simple kinematic problems involving distance, speed and acceleration",Mathematics,Key stage 4,,Subject content,Algebra,NC master,164,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: {calculate or estimate gradients of graphs and areas under graphs (including quadratic and other non-linear graphs), and interpret results in cases such as distance-time graphs, velocity-time graphs and graphs in financial contexts}",Mathematics,Key stage 4,,Subject content,Algebra,NC master,164,,,,,,,,Y,,,Y,,,,,Y,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: {recognise and use the equation of a circle with centre at the origin; find the equation of a tangent to a circle at a given point}",Mathematics,Key stage 4,,Subject content,Algebra,NC master,164,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: solve quadratic equations {including those that require rearrangement} algebraically by factorising, {by completing the square and by using the quadratic formula}; find approximate solutions using a graph",Mathematics,Key stage 4,,Subject content,Algebra,NC master,164,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: solve two simultaneous equations in two variables (linear/linear {or linear/quadratic}) algebraically; find approximate solutions using a graph",Mathematics,Key stage 4,,Subject content,Algebra,NC master,164,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: {find approximate solutions to equations numerically using iteration}",Mathematics,Key stage 4,,Subject content,Algebra,NC master,164,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: translate simple situations or procedures into algebraic expressions or formulae; derive an equation (or two simultaneous equations), solve the equation(s) and interpret the solution",Mathematics,Key stage 4,,Subject content,Algebra,NC master,164,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: solve linear inequalities in one {or two} variable{s}, {and quadratic inequalities in one variable}; represent the solution set on a number line, {using set notation and on a graph}",Mathematics,Key stage 4,,Subject content,Algebra,NC master,164,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: recognise and use sequences of triangular, square and cube numbers, simple arithmetic progressions, Fibonacci type sequences, quadratic sequences, and simple geometric progressions (r"" where n is an integer, and r is a positive rational number {or a surd}) {and other sequences}",Mathematics,Key stage 4,,Subject content,Algebra,NC master,164,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: deduce expressions to calculate the nth term of linear {and quadratic} sequences.",Mathematics,Key stage 4,,Subject content,Algebra,NC master,164,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: compare lengths, areas and volumes using ratio notation and/or scale factors; make links to similarity (including trigonometric ratios)",Mathematics,Key stage 4,,"Ratio, proportion and rates of change",,NC master,165,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: convert between related compound units (speed, rates of pay, prices, density, pressure) in numerical and algebraic contexts",Mathematics,Key stage 4,,"Ratio, proportion and rates of change",,NC master,165,,,,,,,,Y,,,Y,,,,,Y,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: understand that X is inversely proportional to Y is equivalent to X is proportional to 1/Y; {construct and} interpret equations that describe direct and inverse proportion",Mathematics,Key stage 4,,"Ratio, proportion and rates of change",,NC master,165,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: interpret the gradient of a straight line graph as a rate of change; recognise and interpret graphs that illustrate direct and inverse proportion",Mathematics,Key stage 4,,"Ratio, proportion and rates of change",,NC master,165,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: {interpret the gradient at a point on a curve as the instantaneous rate of change; apply the concepts of instantaneous and average rate of change (gradients of tangents and chords) in numerical, algebraic and graphical contexts}",Mathematics,Key stage 4,,"Ratio, proportion and rates of change",,NC master,165,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: set up, solve and interpret the answers in growth and decay problems, including compound interest {and work with general iterative processes}.",Mathematics,Key stage 4,,"Ratio, proportion and rates of change",,NC master,165,,,,,,,,Y,,,Y,,,,,Y,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: interpret and use fractional {and negative} scale factors for enlargements",Mathematics,Key stage 4,,Geometry and measures,,NC master,165,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: {describe the changes and invariance achieved by combinations of rotations, reflections and translations}",Mathematics,Key stage 4,,Geometry and measures,,NC master,165,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: identify and apply circle definitions and properties, including: centre, radius, chord, diameter, circumference, tangent, arc, sector and segment",Mathematics,Key stage 4,,Geometry and measures,,NC master,165,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: {apply and prove the standard circle theorems concerning angles, radii, tangents and chords, and use them to prove related results}",Mathematics,Key stage 4,,Geometry and measures,,NC master,165,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: construct and interpret plans and elevations of 3D shapes",Mathematics,Key stage 4,,Geometry and measures,,NC master,165,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: interpret and use bearings",Mathematics,Key stage 4,,Geometry and measures,,NC master,165,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: calculate arc lengths, angles and areas of sectors of circles",Mathematics,Key stage 4,,Geometry and measures,,NC master,165,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: calculate surface areas and volumes of spheres, pyramids, cones and composite solids",Mathematics,Key stage 4,,Geometry and measures,,NC master,165,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: apply the concepts of congruence and similarity, including the relationships between lengths, {areas and volumes} in similar figures",Mathematics,Key stage 4,,Geometry and measures,,NC master,165,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: apply Pythagoras' Theorem and trigonometric ratios to find angles and lengths in right-angled triangles {and, where possible, general triangles} in two {and three} dimensional figures",Mathematics,Key stage 4,,Geometry and measures,,NC master,165,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: know the exact values of sin θ and cos θ for θ = 0°, 30°, 45°, 60° and 90°; know the exact value of tan θ for θ = 0°, 30°, 45° and 60°",Mathematics,Key stage 4,,Geometry and measures,,NC master,166,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: {know and apply the sine rule, a/sin A = b/sin B = c/sin C, and cosine rule, a² = b² + c² - 2bc cos A, to find unknown lengths and angles}",Mathematics,Key stage 4,,Geometry and measures,,NC master,166,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: {know and apply Area = 1/2 ab sin C to calculate the area, sides or angles of any triangle}",Mathematics,Key stage 4,,Geometry and measures,,NC master,166,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: describe translations as 2D vectors",Mathematics,Key stage 4,,Geometry and measures,,NC master,166,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: apply addition and subtraction of vectors, multiplication of vectors by a scalar, and diagrammatic and column representations of vectors; {use vectors to construct geometric arguments and proofs}.",Mathematics,Key stage 4,,Geometry and measures,,NC master,166,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: apply the property that the probabilities of an exhaustive set of mutually exclusive events sum to one",Mathematics,Key stage 4,,Probability,,NC master,166,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: use a probability model to predict the outcomes of future experiments; understand that empirical unbiased samples tend towards theoretical probability distributions, with increasing sample size",Mathematics,Key stage 4,,Probability,,NC master,166,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: calculate the probability of independent and dependent combined events, including using tree diagrams and other representations, and know the underlying assumptions",Mathematics,Key stage 4,,Probability,,NC master,166,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: {calculate and interpret conditional probabilities through representation using expected frequencies with two-way tables, tree diagrams and Venn diagrams}.",Mathematics,Key stage 4,,Probability,,NC master,166,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: infer properties of populations or distributions from a sample, whilst knowing the limitations of sampling",Mathematics,Key stage 4,,Statistics,,NC master,166,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: interpret and construct tables and line graphs for time series data",Mathematics,Key stage 4,,Statistics,,NC master,166,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: {construct and interpret diagrams for grouped discrete data and continuous data, i.e. histograms with equal and unequal class intervals and cumulative frequency graphs, and know their appropriate use}",Mathematics,Key stage 4,,Statistics,,NC master,166,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: interpret, analyse and compare the distributions of data sets from univariate empirical distributions through: appropriate graphical representation involving discrete, continuous and grouped data, {including box plots}",Mathematics,Key stage 4,,Statistics,,NC master,166,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: interpret, analyse and compare the distributions of data sets from univariate empirical distributions through: appropriate measures of central tendency (including modal class) and spread {including quartiles and inter-quartile range}",Mathematics,Key stage 4,,Statistics,,NC master,167,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: apply statistics to describe a population",Mathematics,Key stage 4,,Statistics,,NC master,167,,,,,,,,Y,,,,,,,,,,,
"In addition to consolidating subject content from key stage 3, pupils should be taught to: use and interpret scatter graphs of bivariate data; recognise correlation and know that it does not indicate causation; draw estimated lines of best fit; make predictions; interpolate and extrapolate apparent trends whilst knowing the dangers of so doing.",Mathematics,Key stage 4,,Statistics,,NC master,167,,,,,,,,Y,,,,Y,,,,,Y,,
"A high-quality science education provides the foundations for understanding the world through the specific disciplines of biology, chemistry and physics.",Science,,,,,NC master,168,Y,,,,Y,,,,,,,,,,,,,,
"Science has changed our lives and is vital to the world's future prosperity, and all pupils should be taught essential aspects of the knowledge, methods, processes and uses of science.",Science,,,,,NC master,168,Y,,,,Y,,,,,,,,,Y,,,,,Y
